Scholarship Name,Deadline,Amount,Description,Location,Years,Link
American Legion Auxiliary Memorial Scholarship,Unknown deadline,500,Applicant must be a member or the daughter or granddaughter of a member with continuous membership in a unit within the Department of Florida for at least three consecutive years prior to date of application. Applicant must be a Florida resident and must attend a Florida school. Application must be requested by January 1.,Florida,"['College senior', 'College junior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/american-legion-auxiliary-memorial-scholarship
Albert M. Lappin Scholarship,Unknown deadline,500,Applicant must be the child of an American Legion or Auxiliary member.,Kansas,"['College freshman', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/albert-m-lappin-scholarship
American Legion-Massachusetts Scholarship,Unknown deadline,500,Applicant must be the child or grandchild of a Department of Massachusetts Legion member in good standing. One award is for nursing only.,Massachusetts,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/american-legion-massachusetts-scholarship
Albert T. Marcoux Memorial Scholarship,Unknown deadline,500,Applicant must be the child of a New Hampshire American Legion or American Legion Auxiliary member or deceased member. Applicant must have a minimum grade average of &quot;B&quot; and must be accepted to a four-year college or university.,New Hampshire,"['College freshman', 'College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/albert-t-marcoux-memorial-scholarship
Stutz Memorial Scholarship,Unknown deadline,500,Applicant must be the natural or adopted child of a member of the American Legion Department of New Jersey.,New Jersey,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/stutz-memorial-scholarship
American Legion-New York Auxiliary Scholarship,Unknown deadline,500,"Applicant must be the child or grandchild of a deceased veteran, be a resident of New York state, and a high school graduate. Recipient may use other scholarships.",New York,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/american-legion-new-york-auxiliary-scholarship
Department President&#039;s Scholarship,Unknown deadline,500,"Applicant must be the child of a living or deceased veteran who served in World War I, World War II, Korean, Vietnam, Lebanon, or Desert Storm conflicts. Applicant must be an Ohio resident and be sponsored by an American Legion Auxiliary unit.",Ohio,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/department-presidents-scholarship
Dr. Kate Waller Barrett Grant,Unknown deadline,500,"Applicant must be the son or daughter of a veteran or Auxiliary member, a high school senior attending a high school in Virginia, and a Virginia resident who demonstrates financial need. Selection based on good citizenship, leadership, scholastic acheivement, and financial need.",Virginia,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/dr-kate-waller-barrett-grant
H.S. and Angeline Lewis Scholarship,Unknown deadline,500,"Applicant must be a Wisconsin resident who enrolled at an accredited school and is the child, wife, or widow of a veteran; granddaughters and great-granddaughters of veterans are eligible if they are American Legion Auxiliary members. Minimum 3.2 GPA and financial need required.",Wisconsin,"['Master&#039;s-level study', 'Doctoral-level study', 'College junior', 'College sophomore', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/hs-and-angeline-lewis-scholarship
Merit and Memorial Scholarship,Unknown deadline,500,"Applicant must be a Wisconsin resident who enrolled at an accredited school and is the child, wife, or widow of a veteran; granddaughters and great-granddaughters of veterans are eligible if they are American Legion Auxiliary members. Minimum 3.2 GPA and financial need required.",Wisconsin,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/merit-and-memorial-scholarship
State President&#039;s Scholarship,Unknown deadline,500,"Applicant must be a Wisconsin resident who enrolled at an accredited school and is the child, wife, or widow of a veteran; granddaughters and great-granddaughters of veterans are eligible if they are American Legion Auxiliary members. Minimum 3.2 GPA and financial need required.",Wisconsin,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/state-presidents-scholarship
AMVETS National Four-Year Scholarship,Unknown deadline,500,"Applicant must be a graduating high school senior entering their freshman year of college who is the child or grandchild of a United States veteran. Applicant must be a United States citizen, be able to demonstrate academic promise and financial need, and authorize AMVETS to publicize the award if they are selected.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/amvets-national-four-year-scholarship
Marine Corps Scholarship Foundation Scholarship,Unknown deadline,500,"Applicant must be the child of a Marine or Navy Corpsmen who served with a Marine unit and who plans to attend an undergraduate or vo/tech school and whose family adjusted gross income (not exceeding $9,000). Minimum 2.0 GPA required.",No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/marine-corps-scholarship-foundation-scholarship
Ohio War Orphans Scholarship,Unknown deadline,500,Applicant must be an Ohio resident between the ages of 16 and 25 attending a participating Ohio college or university. Applicant must be the child of a veteran who served at least 90 days active duty during a period of war and must now be either disabled or deceased.,Ohio,"['College freshman', 'College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/ohio-war-orphans-scholarship
Veterans Tuition Award,Unknown deadline,500,"Applicant must be enrolled in an undergraduate program in a New York degree-granting institution or vocational school and must have served in the U.S. Armed Forces in Indochina between January 1, 1963 and May 7, 1975 (dishonorable discharge not eligible). Applicant must have resided in New York on April 20, 1984 or at the time of entry into service and resume residency by September 1 of the year of application. Selection is based solely upon documenting and meeting eligibility requirements. Applicant must also have applied for Tuition Assistance Program and Pell Grant awards. Applicant must have served in hostilities begining August 2, 1990 (for Persian Gulf Veterans Tuition Award only).",New York,"['College junior', 'Master&#039;s-level study', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/veterans-tuition-award
Desk and Derrick Educational Trust Scholarship,Unknown deadline,500,"Applicant must be a full-time undergraduate or graduate student with a minimum 3.2 GPA who is pursuing a degree in a major field of study related to qualifying for full-time employment (in the petroleum, energy, or allied industries). Financial need required.","Canada, United States","['Master&#039;s-level study', 'College senior', 'College junior', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/desk-and-derrick-educational-trust-scholarship
Delta Gamma Foundation Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen who is legally blind, is of good character, and demonstrates academic excellence. Selection is based upon transcript, three recommendations, and personal statement.",United States,"['Doctoral-level study', 'College senior', 'College sophomore', 'College junior', 'College freshman', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/delta-gamma-foundation-memorial-scholarship
Music Scholarship,Unknown deadline,500,Applicant must be a Kansas resident attending an approved Kansas college or university.,Kansas,"['College freshman', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/music-scholarship
Rand Instrumental Scholarship,Unknown deadline,500,"Applicant must be a resident of the state of Maine and be between the ages 17 and 25 at time of audition. Applicant must be a music major during the fall semester at any accredited music school or university. Audition (of no more than 15 minutes) will include a performance of at least two memorized compositions from two different periods (Baroque, Classical, Romantic, or Modern). Award minimum, average, and maximum are for first, second, and third place, respectively.","Cumberland, Oxford, York","['Master&#039;s-level study', 'College freshman', 'College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/rand-instrumental-scholarship
Music Scholarship for Mature Women,Unknown deadline,500,Applicant must be a female U.S. citizen age 35 or over and must submit background and one or two scores of musical composition. Each score should have a performance time of 10-18 minutes. Compositions should not have previously won an award.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/music-scholarship-for-mature-women
Estelle Massey Osborne Scholarship,Unknown deadline,500,Applicant should be a black registered nurse who is a member of a professional nursing association and enrolled in or applying to a full-time master&#039;s degree program in nursing approved by the National League for Nursing and CCNE. Applicant must be a U.S. citizen or have declared official intention of becoming one. Applicant must submit GRE or MAT scores. Selection is based upon academic achievement and evidence of service to the profession. Send $20 check to cover postage and handling when requesting application.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/estelle-massey-osborne-scholarship
M. Elizabeth Carnegie Scholarship,Unknown deadline,500,"Applicant must be a black registered nurse and member of a professional nursing organization, be enrolled in a doctoral program in nursing or a nursing-related field, and be a U.S. citizen or have officially declared desire to become one. Selection is based upon academic achievement and evidence of service to the profession. Applicant must submit GRE or MAT scores. Send $20 check by February 1 to cover postage and handling when requesting application.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/m-elizabeth-carnegie-scholarship
Nurses Educational Funds Scholarships,Unknown deadline,500,"Applicant must be a registered nurse who is a member of a professional nursing association, enrolled as a student in a NLNAC- or CCNE-accredited nursing masters or doctoral program in a nursing or nursing related field with a minimum 3.6 GPA. GRE or MAT scores are not required. A $20 feel is required to cover processing of the online application.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/nurses-educational-funds-scholarships
ANS Graduate Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a course of study relating to a degree in nuclear science and technology. Applicant must be sponsored by an ANS local section, division, student branch, committee member or organization member.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/ans-graduate-scholarship
John and Muriel Landis Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident with greater than average financial need enrolled in a U.S. institution. Minority and female applicants are encouraged to apply; however, selection is without regard to race, creed, or sex. Applicant must be sponsored by an ANS local section, division, student branch, committee member, or organization member.",No Geographic Restrictions,"['College senior', 'College sophomore', 'Master&#039;s-level study', 'College freshman', 'Doctoral-level study', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/john-and-muriel-landis-scholarship
John R. Lamarsh Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a course of study relating to a degree in nuclear science and technology. Applicant must be sponsored by an ANS local section, division, student branch, committee member or organization member.",No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/john-r-lamarsh-memorial-scholarship
Joseph R. Dietrich Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a U.S. institution and must be sponsored by an ANS local section, division, student branch, committee member, or organization member.",No Geographic Restrictions,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/joseph-r-dietrich-memorial-scholarship
James F. Schumar Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident pursuing graduate studies at a U.S. institution and must be sponsored by an ANS local section, division, student branch, committee member, or organization member.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/james-f-schumar-scholarship
Alan F. Henry/Paul A. Greebler Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a U.S. institution pursuing graduate studies in reactor physics. Applicant must be sponsored by an ANS local section, division, student branch, committee member, or organization member.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/alan-f-henrypaul-a-greebler-scholarship
Robert A. Dannels Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a course of study relating to a degree in nuclear science and technology. Applicant must be sponsored by an ANS local section, division, student branch, committee member or organization member. Handicapped persons are encouraged to apply.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/robert-a-dannels-memorial-scholarship
ANS Sophomore Undergraduate Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or permanent resident enrolled in a U.S. institution and must be sponsored by an ANS local section, division, student branch, committee, member, or organization member.",No Geographic Restrictions,['College sophomore'],https://www.collegescholarships.org/financial-aid/scholarship/ans-sophomore-undergraduate-scholarship
The National Federation of the Blind Scholarship,Unknown deadline,500,"Applicant must be legally blind in both eyes, residing in and pursuing a full-time course of study in an accredited degree program in the United States or Puerto Rico. Online/print application form, personal essay, two letters of recommendation, proof of legal blindness, all post-secondary transcripts, and one interview with NFB state president required; financial need not required. One scholarship may be given to a student who is working full-time and attending part-time. Recipient must participate in the NFB Annual Convention (financial assistance for convention is in addition to the scholarship). The NFB Scholarship Program FAQ page contains tips for all applicants.","Puerto Rico, United States","['Master&#039;s-level study', 'College junior', 'Doctoral-level study', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/the-national-federation-of-the-blind-scholarship
Harry S. Truman Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or U.S. national, rank in top quarter of class, have outstanding leadership potential and communication skills, and be planning to pursue graduate school study to prepare for a career in government or public service. Recipient receives up to $30,000 for graduate studies.",No Geographic Restrictions,"['College senior', 'Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/harry-s-truman-scholarship
SEG Foundation Scholarship,Unknown deadline,500,"Applicant must be a high school student who plans to enter college next fall or be an undergraduate or graduate college student whose grades are above average. Applicant must intend to pursue a college curriculum directed towards a career in applied geophysics or a closely related field, such as geosciences, physics, geology, or earth and environmental sciences.",No Geographic Restrictions,"['College senior', 'Master&#039;s-level study', 'College junior', 'College freshman', 'College sophomore', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/seg-foundation-scholarship
Rudolph Dillman Memorial Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen, be studying in the U.S., be legally blind, and be accepted into an accredited program. Selection is based upon transcript, three recommendations, and personal statement. One award is given to applicant who demonstrates financial need.",United States,"['College junior', 'College senior', 'College sophomore', 'Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/rudolph-dillman-memorial-scholarship
Fannie and John Hertz Foundation Fellowship,Unknown deadline,500,"Applicant must be a U.S. citizen with a minimum &quot;A-&quot; grade average during the last two years of undergraduate work pursuing a graduate degree in the applied physical sciences (no biological sciences). Students in joint professional degree programs (e.g., M.D./Ph.D.) are not eligible.",No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/fannie-and-john-hertz-foundation-fellowship
Walter Patterson Scholarship,Unknown deadline,500,Applicant must be enrolled at a BEA-member institution. Selection is based upon substantial evidence of superior academic performance and potential to be an outstanding contributor to the field. Applicant should demonstrate interest in the general field of broadcasting and have a high order of integrity and sense of responsibility.,No Geographic Restrictions,"['College senior', 'Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/walter-patterson-scholarship
JCC Association Graduate Scholarship,Unknown deadline,500,Applicant must be committed to working in a Jewish Community Center full time for two years. Applicant must seek a master&#039;s degree in an area leading to professional careers in JCCs or affiliated agencies.,No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/jcc-association-graduate-scholarship
Pro Deo and Pro Patria Scholarship,Unknown deadline,500,"Applicant must be a member of the Knights of Columbus, Columbian Squires or the child of a member of the Knights of Columbus and must be attending a Catholic college. Selection is based upon academic excellence. Transcripts, test scores, autobiography, and recommendation required.",United States,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/pro-deo-and-pro-patria-scholarship
Women of the Evangelical Lutheran Church in America Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen, be a woman at least 21 years of age, have been out of school for at least two years, and hold membership in the Evangelical Lutheran Church of America. Cronk, Mehring, and Piero/Wade scholarships are for undergraduate, graduate, professional, or vocational courses of study. Kahler/Vickers/Raup scholarship is for medical school study. Kemp scholarship is for minority laywomen in undergraduate, graduate, professional, or vocational courses of study. Knudstrup scholarship is for the occupation of Christian service through graduate study.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/women-of-the-evangelical-lutheran-church-in-america-scholarship
Child Welfare Scholarship,Unknown deadline,500,"Applicant must be a Wisconsin resident who enrolled at an accredited school and is the child, wife, or widow of a veteran; granddaughters and great-granddaughters of veterans are eligible if they are American Legion Auxiliary members. Minimum 3.2 GPA and financial need required.",Wisconsin,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/child-welfare-scholarship
Oratorical Contest Scholarship,Unknown deadline,500,"Scholarship is for the winners of the state oratorical contest; applicants are selected by schools and participate in district contests, followed by area and departmental finals. Applicant should see his or her local high school counselor for further information.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-1
Oratorical Contest Scholarship,Unknown deadline,500,Applicant must attend an accredited high school in Illinois and compete in the state oratorical contest.,Illinois,"['High school junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-2
Oratorical Contest Scholarship,Unknown deadline,500,"Applicant must be a student under the age of 20, participate in local contests and must attend an Indiana high school. Speech must be on some aspect of the U.S. Constitution.",Indiana,"['High school freshman', 'High school senior', 'High school junior', 'High school sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-3
Oratorical Contest Scholarship,Unknown deadline,500,"Applicant must attend an accredited high school in Iowa, enter the contest at the local level, and must plan to attend a college or university in Iowa.",Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-4
Oratorical Contest Scholarship,Unknown deadline,500,Applicant must be a United States citizen or legal resident under the age of 20 who is presently enrolled in a high school or junior school. Participation in the oratorical contest is required.,Kansas,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-5
Oratorical Contest Scholarship,Unknown deadline,500,Applicant must be between the ages of 16 and 19 and must compete in the oratorical contest.,Maryland,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-6
Oratorical Contest,Unknown deadline,500,Applicant must be a student under age 20 and enrolled as a junior or senior in high school at the time of contest.,Massachusetts,"['High school junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest
Oratorical Contest Scholarship,Unknown deadline,500,Applicant must be a winner in the New Jersey Department Oratorical Contest.,New Jersey,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-7
Oratorical Contest Scholarship,Unknown deadline,500,"Applicant must be a US citizen or permanent resident. Applicant must compete at local, county, district, and zone levels; the five finalists may compete for this award.",New York,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-8
Oratorical Contest Scholarship of Tennessee,Unknown deadline,500,"Applicant must be under the age of 20 and be attending high school in Tennessee. An eight to 10 minute oration on some phase of the U.S. Constitution, emphasizing the attendant duties and obligations of a citizen to our government is required.",Tennessee,"['High school freshman', 'High school senior', 'High school junior', 'High school sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-of-tennessee
Oratorical Contest Scholarship,Unknown deadline,500,"Applicant must be a Texas resident, current high school student, be sponsored by an American Legion post, and compete in the state oratorical contest.",Texas,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/oratorical-contest-scholarship-9
Outstanding Citizen of Boys State,Unknown deadline,500,Applicant must demonstrate outstanding citizenship while attending Iowa American Legion Boys State. Applicant must attend a college or university in Iowa. Selection is based upon the recommendation of Boys State Counselors.,Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/outstanding-citizen-of-boys-state
Outstanding Citizen of Girls State,Unknown deadline,500,Applicant must demonstrate outstanding leadership while attending Iowa American Legion Auxiliary Girls State. Applicant must attend a college or university in Iowa. Selection is based upon the recommendation of Girls State Counselors.,Iowa,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/outstanding-citizen-of-girls-state
Department of New Hampshire Scholarship,Unknown deadline,500,Applicant must have a minimum grade average of &quot;B&quot; and must be accepted to a four-year college or university.,New Hampshire,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/department-of-new-hampshire-scholarship
Arkansas Governor&#039;s Scholars Award,Unknown deadline,500,"Applicant must be an Arkansas resident and have a minimum combined SAT I score of 1220 (composite ACT score of 27) or a minimum 3.5 GPA, and demonstrate leadership abilities. Recipients must attend an approved Arkansas institution.",Arkansas,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/arkansas-governors-scholars-award
Assumption Program of Loans for Education (APLE),Unknown deadline,500,"Applicant must be a California resident, intending to become a college or university faculty member, after pursuing an advanced degree at an eligible California graduate or professional school. Applicant is ranked competitively according to undergraduate grades, test scores, and consideration of a disadvantaged background, and must take the graduate/professional school exam appropriate to area of specialization. Selection is based upon financial need, academic ability, and state manpower needs.",California,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/assumption-program-of-loans-for-education-aple
Scholarship Incentive,Unknown deadline,500,"Applicant must have a minimum 2.5 GPA, demonstrate financial need, and be enrolled full-time in an institution in Delaware or Pennsylvania. Applicants from other states may be considered if pursuing a major that is not offered in Delaware.",Delaware,"['Master&#039;s-level study', 'Doctoral-level study', 'College sophomore', 'College freshman', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/scholarship-incentive
Merit Recognition Scholarship,Unknown deadline,500,"Applicant must be a U.S. citizen or eligible non-citizen and a resident of Illinois who ranks in the top 5% of their class at the end of the seventh semester. Applicant must attend an approved Illinois post-secondary institution as an undergraduate on at least a part-time basis, comply with Selective Service (draft) registration requirements, and claim the award within one year of high school graduation.",Illinois,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/merit-recognition-scholarship
Maine Student Grant,Unknown deadline,500,Applicant must be a Maine resident attending an eligible school in a state with a reciprocal agreement.,Maine,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/maine-student-grant
Memorial Education Fellowship,Unknown deadline,500,"Specified fields of study change each year. Applicant must be a woman maintaining a legal residence in Massachusetts for at least five years and must be sponsored by the president of the General Federation of Women&#039;s Clubs of Massachusetts club in her community of legal residence. Applicant must also submit letter of reference, personal letter, and transcript. Interview is required. SASE required.",Massachusetts,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/memorial-education-fellowship
Educational Opportunity Fund Grant,Unknown deadline,500,"Applicant must be from an educationally disadvantaged background and demonstrate financial need. Applicant must be a full-time, matriculated student at a New Jersey college or university and be a resident of New Jersey for at least 12 consecutive months.",New Jersey,"['College senior', 'College freshman', 'College sophomore', 'College junior', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/educational-opportunity-fund-grant
Edward J. Bloustein Distinguished Scholars,Unknown deadline,500,Applicant must be (and have been for the previous 12 consecutive months) a New Jersey resident planning to attend a New Jersey college or university full-time. Applicant must be able to demonstrate academic achievement based upon secondary school records and SAT scores at the end of their junior year.,New Jersey,"['College sophomore', 'College junior', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/edward-j-bloustein-distinguished-scholars
Survivor Tuition Benefits Program,Unknown deadline,500,Applicant must be the dependent of a New Jersey emergency service member or law enforcement officer killed in the line of duty. Applicant must be a resident of New Jersey attending a New Jersey institution of higher education as an undergraduate on at least a half-time basis. Grants pay the actual cost of tuition up to the highest tuition charged at a New Jersey public institution of higher education.,New Jersey,"['College freshman', 'College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/survivor-tuition-benefits-program
Tuition Aid Grant,Unknown deadline,500,"Applicant must be or intend to be a full-time undergraduate at a New Jersey college or university, demonstrate financial need, and must have lived in New Jersey for at least 12 consecutive months.",New Jersey,"['College freshman', 'College junior', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/tuition-aid-grant
North Dakota Scholars Scholarship,Unknown deadline,500,Applicant must be a high school junior who is a resident of North Dakota and who plans to go to college at a North Dakota institution. Applicant must score in the upper fifth percentile of all North Dakota ACT Test takers.,North Dakota,"['High school senior', 'High school junior']",https://www.collegescholarships.org/financial-aid/scholarship/north-dakota-scholars-scholarship
Rhode Island State Grant,Unknown deadline,500,"Applicant must be a Rhode Island resident, a U.S. citizen or eligible non-citizen, demonstrate financial need, and file the FAFSA. Applicant must be enrolled at least part time in a degree or certificate program.",Rhode Island,"['College sophomore', 'College freshman', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/rhode-island-state-grant
Ned McWherter Scholars,Unknown deadline,500,Applicant must be a United States citizen who is a Tennessee resident entering as a freshman student at an eligible Tennessee post-secondary institution as a full-time student. Applicant must have a minimum composite ACT score of 29 (combined SAT Reasoning score of 1280) on a national test date with a minimum 3.5 unweighted GPA.Extra credit for honors or advanced placement courses and leadership in extracurricular activities. Award is highly competitive.,Tennessee,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/ned-mcwherter-scholars
Ty Cobb Scholarship,Unknown deadline,500,Applicant must be an undergraduate student who is a resident of Georgia who has demonstrated financial need and has completed a minimum of 30 semester (45 quarter) hours of academic credits with a minimum grade average of &quot;B.&quot;,Georgia,"['College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/ty-cobb-scholarship
West Virginia Higher Education Grant,Unknown deadline,500,Applicant must be a U.S. citizen who has been a West Virginia resident for a minimum of 12 months prior to date of application. Applicant must be a high school graduate or have earned their GED diploma and be able to demonstrate an established level of financial need and academic promise. Applicant must plan to enroll at a participating West Virginia or Pennsylvania institution as a full-time student.,West Virginia,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/west-virginia-higher-education-grant
Indian Student Assistance Grant,Unknown deadline,500,"Applicant must be a Wisconsin resident who is at least 25% Native American and is enrolled in a degree or certificate program at U of Wisconsin, Wisconsin Tech Coll, or a Wisconsin independent college/university or proprietary institution. Applicant must submit FAFSA and grant application.",Wisconsin,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/indian-student-assistance-grant
CTA Scholarship for Dependent Children,Unknown deadline,500,Applicant must be claimed as dependent status on the current year&#039;s IRS forms. Applicant must be the dependent child of an active or retired California Teachers Association member.,No Geographic Restrictions,"['College senior', 'College freshman', 'Doctoral-level study', 'Master&#039;s-level study', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/cta-scholarship-for-dependent-children
E.C. Hallbeck Memorial Scholarship,Unknown deadline,500,"Applicant must be the child or grandchild of an active or deceased member of the American Postal Workers Union; the parent or grandparent must have been a member in good standing for at least one year preceding application or death. Selection is based upon academic record, personal qualifications, SAT Reasoning or ACT scores, and total family income. Relatives of APWU elected National Officers are not eligible.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/ec-hallbeck-memorial-scholarship
James R. Hoffa Memorial Scholarship Fund,Unknown deadline,500,"Applicant must be a high school senior who ranks in the top 15% of their class, has, or expects to have excellent SAT Reasoning or ACT scores, and is the child of a Teamsters member.",No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/james-r-hoffa-memorial-scholarship-fund
Iowa Federation of Labor AFL-CIO Graduate Assistantship,Unknown deadline,500,"Applicant must be a member in good standing or the child or ward of a member in good standing (active, deceased or retired) of a local union affiliated with the Iowa Federation of Labor, AFL-CIO. Applicant must be accepted into a graduate or professional program of study at The University of Iowa and not only profess an interest in labor education and research, but have the capabilities to offer assistance to the program at the University. Financial need is required.",Iowa,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/iowa-federation-of-labor-afl-cio-graduate-assistantship
SEIU Scholarship,Unknown deadline,500,"For most awards, applicant must be a member or the child of a member of a SEIU local union. Applicant must have been a member for at least three years prior to September 1 of the year the award is presented. Selection is based upon high school grades, SAT scores, achievements and honors, and personal character report. One scholarship is open to SEIU local union staff.",No Geographic Restrictions,"['College freshman', 'College senior', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/seiu-scholarship
Utility Workers Union of America Scholarship,Unknown deadline,500,Applicant must be the child of an active member of the Utility Workers Union of America. Selection is made by the National Merit Scholarship Corp.,United States,"['High school senior', 'High school junior']",https://www.collegescholarships.org/financial-aid/scholarship/utility-workers-union-of-america-scholarship
